2,1,70,363415658
1,1,51,31670560
0,1,54,820177726
1,1,34,479199662
2,1,28,409331907
0,0,24,97102664
1,1,37,56006320
2,0,61,201696016
2,1,19,756853410
0,1,27,72413850
1,1,43,780482593
0,1,24,184758755
2,0,33,397304067
2,0,25,415349930
2,0,61,353325558
2,0,26,930025857
1,0,40,679819840
1,1,41,574038662
1,1,48,352112367
1,1,28,542276798
1,1,50,106379417
1,0,22,326742175
0,0,54,23311481
0,0,36,315266319
2,0,52,666836176
0,1,23,430111823
0,0,49,482811346
0,1,30,8109190
1,0,20,224436265
2,0,58,904153193
2,1,28,663688782
0,1,29,488057183
0,1,36,356856982
1,0,32,914157442
2,0,67,152915303
2,1,19,655001891
2,1,45,206342250
1,1,27,926633338
2,0,68,226433211
1,0,26,750122068
1,1,38,761497540
1,1,28,837673422
2,1,44,768395690
1,0,53,29072307
2,0,51,313736780
1,0,33,177953591
2,1,20,25351107
1,0,20,340302105
2,0,22,197406800
2,1,38,538108065
0,1,24,730042452
2,1,44,442476864
2,1,20,684849301
2,0,53,765181371
0,1,20,487140977
0,0,45,581902432
2,0,65,81377309
1,0,46,442688384
0,0,46,858151773
1,0,42,772166428
2,0,69,479074747
1,0,58,530891912
2,0,65,551354509
2,0,49,886161062
1,0,51,393851975
2,0,23,412342222
0,1,63,117507660
1,0,36,235861658
1,1,24,235897035
2,1,21,73114948
2,0,44,295288393
2,1,27,790821317
1,0,30,704461839
0,0,25,488170142
1,1,57,547943918
0,1,41,739658167
0,1,26,730959006
2,0,29,356632409
0,0,39,17521282
1,1,31,134968298
1,0,54,957700171
1,0,25,784334307
1,0,68,958941919
2,0,62,698974719
0,0,58,674057810
2,1,62,713692802
1,1,48,705500004
1,0,38,531571019
1,1,31,98954260
0,0,30,780988027
0,1,37,462190511
0,0,55,114984310
0,0,39,541025789
2,0,21,407979412
2,1,68,394640038
1,0,36,776827672
0,1,20,882887492
1,0,68,445570832
2,0,40,215346007
2,1,24,110434622
